Id,Price,Latitude,Longitude,Surface_built,Surface_useful,Bedrooms,Bathrooms,Type,Condition,Partitioning,BuildingYear
BA096834-E8EF-4CAD-1F82-08D90338E4D9,350,47.12119,27.56921,90,90,3,2,apartament,utilizat,decomandat,2001
FAC5620D-6325-4124-1F86-08D90338E4D9,250,47.16217,27.56323,90,74,3,1,apartament,utilizat,decomandat,1984
72AAF885-78D0-4584-1F8E-08D90338E4D9,264,47.16267,27.56408,88,72,3,1,apartament,utilizat,decomandat,1980
8A3E5764-C93D-4BC0-1F8F-08D90338E4D9,264,47.16217,27.56323,88,72,3,1,apartament,utilizat,decomandat,1982
B3CDA21D-E64E-4AB9-1F93-08D90338E4D9,349,47.16586,27.57201,85,75,3,1,apartament,utilizat,decomandat,1980
B8A7B793-B86B-4F6C-1F9A-08D90338E4D9,280,47.16703,27.58428,80,70,3,1,apartament,utilizat,decomandat,1980
C4016C06-63D4-4A3A-1F9B-08D90338E4D9,390,47.17535,27.54304,80,80,3,2,apartament,utilizat,decomandat,1980
BA97AC4F-8B00-4625-1F9E-08D90338E4D9,300,47.15292,27.59158,80,72,3,2,apartament,renovat,decomandat,1987
C548EE35-A08B-4D60-1FA0-08D90338E4D9,300,47.15292,27.59158,80,72,3,2,apartament,renovat,decomandat,1987
96423D44-C5F2-4825-1FA1-08D90338E4D9,370,47.16267,27.56408,80,75,3,2,apartament,renovat,decomandat,1978
BA3D72CC-94B4-4DC4-1FAD-08D90338E4D9,350,47.17279,27.54828,80,73,3,1,apartament,renovat,decomandat,1990
F0FB8D0A-2C4A-447D-1FB5-08D90338E4D9,319,47.1564,27.56966,79,70,3,1,apartament,utilizat,semidecomandat,1977
B622A164-5E0B-4D57-1FC0-08D90338E4D9,350,47.16738,27.56729,75,75,3,1,apartament,renovat,decomandat,2020
8BF6A83F-EC7E-4315-1FC3-08D90338E4D9,399,47.15286,27.60534,75,65,2,1,apartament,nou,decomandat,2018
BAEC729F-EFDC-479D-1FCC-08D90338E4D9,300,47.16744,27.58402,75,75,3,2,apartament,utilizat,decomandat,1986
7EDDD748-08F2-46B7-1FD5-08D90338E4D9,300,47.17636,27.51568,75,65,2,1,apartament,nou,decomandat,2014
C7E28494-B048-4A0D-1FD6-08D90338E4D9,299,47.16843,27.54502,75,70,3,1,apartament,renovat,decomandat,1980
476A986D-CCD3-4299-1FD9-08D90338E4D9,300,47.1533,27.56981,75,75,3,2,apartament,utilizat,decomandat,1980
98953DAF-D8AD-46C5-1FDB-08D90338E4D9,300,47.16896,27.56744,74,74,3,2,apartament,renovat,decomandat,1988
83C73A3C-AC56-4CF0-1FDF-08D90338E4D9,350,47.15175,27.59779,72,68,3,1,apartament,renovat,semidecomandat,1970
2446D8EA-11B6-42D5-1FE1-08D90338E4D9,390,47.17851,27.57282,71,61,3,1,apartament,utilizat,decomandat,1980
021B16C3-E2B4-48BF-1FE4-08D90338E4D9,299,47.14637,27.60492,70,60,2,1,apartament,nou,semidecomandat,2018
A79987A1-BD8A-4BAB-1FE5-08D90338E4D9,250,47.12009,27.62311,70,65,2,1,apartament,nou,decomandat,2016
5824DF06-4847-4D02-1FEE-08D90338E4D9,300,47.15988,27.61417,70,75,3,1,apartament,renovat,semidecomandat,1970
0AA0E05B-A05B-4F03-1FF4-08D90338E4D9,280,47.12847,27.60453,70,60,2,1,apartament,utilizat,decomandat,2013
DBAC715A-3F2E-4F18-1FFA-08D90338E4D9,350,47.15292,27.59158,70,56,2,1,apartament,nou,decomandat,2020
AFA7A362-7772-4AE0-2002-08D90338E4D9,305,47.16248,27.61222,70,70,3,1,apartament,renovat,decomandat,1980
42434115-3D40-4D3A-2003-08D90338E4D9,250,47.12941,27.60621,70,54,2,1,apartament,renovat,semidecomandat,2014
CEF3C08D-59B1-4575-2005-08D90338E4D9,350,47.15804,27.60065,70,65,3,1,apartament,renovat,semidecomandat,1970
CEA45E62-5220-4B58-2008-08D90338E4D9,349,47.20276,27.53458,70,60,2,1,apartament,utilizat,decomandat,2019
8B51A713-8A6F-4CC6-200C-08D90338E4D9,330,47.14614,27.57626,69,69,3,1,apartament,utilizat,decomandat,1980
02208149-DA21-42EA-200D-08D90338E4D9,320,47.17543,27.55036,69,69,3,1,apartament,utilizat,decomandat,1989
659C5EC0-0CA4-42AB-2010-08D90338E4D9,330,47.15292,27.59158,68,60,3,1,apartament,renovat,semidecomandat,1980
5B974073-E7C0-4E54-201E-08D90338E4D9,390,47.16632,27.59798,67,67,2,1,apartament,renovat,semidecomandat,2016
873B957D-1015-43DC-2020-08D90338E4D9,350,47.16609,27.59756,67,60,2,1,apartament,renovat,decomandat,2016
CAC0B2C1-E2E8-4C3A-2023-08D90338E4D9,399,47.11947,27.62844,67,66,2,1,apartament,renovat,decomandat,2019
DBBD390F-F75E-43C1-2028-08D90338E4D9,350,47.12635,27.61761,66,54,2,1,apartament,renovat,decomandat,2021
F05F7B20-4A0F-4344-202D-08D90338E4D9,300,47.17258,27.59106,65,65,2,1,apartament,renovat,decomandat,2019
85BBE15F-DC56-4468-2036-08D90338E4D9,350,47.12009,27.62311,65,55,2,1,apartament,nou,decomandat,2020
E00297BD-B6A5-4C51-2037-08D90338E4D9,350,47.12009,27.62311,65,55,2,1,apartament,nou,decomandat,2020
B6B518DC-209C-4EBE-2049-08D90338E4D9,390,47.19604,27.55191,63,63,2,1,apartament,renovat,decomandat,2016
A4A82625-54D2-402E-204B-08D90338E4D9,300,47.15292,27.59158,62,55,2,1,apartament,nou,decomandat,2020
8D486247-DF02-42D1-2050-08D90338E4D9,390,47.20045,27.54072,62,52,2,1,apartament,renovat,decomandat,2020
D81B5ED3-CBA8-4953-2054-08D90338E4D9,330,47.13555,27.5898,62,60,2,1,apartament,nou,decomandat,2020
1F5384E4-8DAA-44FD-2056-08D90338E4D9,390,47.17875,27.56893,61,61,3,1,apartament,renovat,decomandat,1960
35630FB8-E5ED-4369-2058-08D90338E4D9,350,47.15292,27.59158,61,58,2,1,apartament,nou,decomandat,2018
AB864BAC-ABF2-401F-2059-08D90338E4D9,250,47.18078,27.56696,60,60,2,1,apartament,utilizat,decomandat,1960
AD2710D3-40D4-443B-205B-08D90338E4D9,320,47.16703,27.58428,60,57,2,1,apartament,renovat,decomandat,1980
15B967E6-1CB5-4339-205C-08D90338E4D9,330,47.14702,27.57617,60,60,3,1,apartament,utilizat,decomandat,1980
ADF07707-A338-4EF4-205D-08D90338E4D9,249,47.18134,27.5187,60,51,2,1,apartament,utilizat,decomandat,2019
57C785E6-1557-4BC9-205E-08D90338E4D9,300,47.15292,27.59158,60,55,2,1,apartament,nou,semidecomandat,2020
39FF971B-FD56-4058-205F-08D90338E4D9,300,47.14674,27.60396,60,50,2,1,apartament,utilizat,decomandat,2020
BE263C29-F42A-43EA-2060-08D90338E4D9,280,47.16267,27.56408,60,60,2,1,apartament,utilizat,decomandat,1979
46A45E29-EFB8-4612-2061-08D90338E4D9,275,47.1327,27.5579,60,60,2,1,apartament,nou,decomandat,2020
85AE8235-8ACB-4E35-2067-08D90338E4D9,365,47.15845,27.60144,60,60,2,1,apartament,renovat,decomandat,1980
C21C7E64-76EE-47BE-206F-08D90338E4D9,300,47.1601,27.56366,60,55,3,1,apartament,utilizat,decomandat,1978
D2A9C49B-3862-4105-207B-08D90338E4D9,320,47.15292,27.59158,60,55,2,1,apartament,utilizat,NULL,1960
557FA605-0C38-4AFB-207D-08D90338E4D9,300,47.15047,27.58663,60,60,2,1,apartament,renovat,circular,1980
4A541866-69BE-45A7-208B-08D90338E4D9,399,47.15292,27.59158,60,50,2,1,apartament,utilizat,nedecomandat,2018
8F7D2E06-16BA-4BE6-208E-08D90338E4D9,300,47.12932,27.60609,60,56,2,1,apartament,renovat,decomandat,2016
6BB62900-4884-4F0C-2091-08D90338E4D9,330,47.12009,27.62311,60,58,2,1,apartament,nou,decomandat,2019
E469A090-9CC3-4440-2094-08D90338E4D9,330,47.12777,27.5698,60,60,3,2,apartament,renovat,semidecomandat,2016
DBAA3DE1-6D37-4682-2097-08D90338E4D9,350,47.13555,27.5898,60,58,2,1,apartament,nou,decomandat,2020
CF4DA064-BBA7-45C9-2098-08D90338E4D9,399,47.15852,27.60784,60,60,2,1,apartament,renovat,decomandat,2020
E5DBD0FC-20D2-4964-2099-08D90338E4D9,280,47.12009,27.62311,60,56,2,1,apartament,nou,decomandat,2015
D4873B46-F63F-42FD-209B-08D90338E4D9,280,47.12678,27.6035,60,56,2,1,apartament,nou,decomandat,2015
0B02F80A-3B7B-476B-20A0-08D90338E4D9,350,47.16657,27.58642,60,60,2,1,apartament,renovat,decomandat,1977
335915C4-05F6-4F81-20A3-08D90338E4D9,330,47.15815,27.60109,60,60,2,1,apartament,renovat,decomandat,2015
89E39FCB-C23A-47DA-20A5-08D90338E4D9,399,47.15523,27.59337,60,50,2,1,apartament,renovat,nedecomandat,2017
94F10CA3-3D30-402C-20A6-08D90338E4D9,399,47.16729,27.56827,60,60,3,1,apartament,renovat,semidecomandat,1980
98183DC7-3FA0-4760-20A7-08D90338E4D9,350,47.15311,27.61292,60,60,2,2,apartament,renovat,decomandat,2020
679660B9-B804-4ABF-20A8-08D90338E4D9,250,47.1666,27.57687,60,56,2,1,apartament,utilizat,decomandat,1980
34DD85D8-9846-4BF0-20AD-08D90338E4D9,350,47.15245,27.608,60,60,2,1,apartament,nou,decomandat,2019
